throw_idx,gt_target_x,gt_target_y,gt_target_z,detection_found,detection_confidence,detection_class_name,bbox_x1,bbox_y1,bbox_x2,bbox_y2,depth_surface_m,est_target_x,est_target_y,est_target_z,perception_error_m,surface_vs_vp_error_m,used_target_x,used_target_y,used_ground_truth_fallback,speed_strategy_requested,speed_strategy_used,policy_speed_mps,policy_predicted_error_m,search_best_speed_mps,search_predicted_error_m,planned_vx,planned_vy,planned_vz,achieved_speed_mps,release_time_s,landing_x,landing_y,landing_z,landing_error_gt_m,landing_error_est_m,hit_gt,hit_est,skipped_throw,skip_reason
1,0.9849569823963146,-0.06312973337829197,0.06,True,0.9627538323402405,throw_target,275.66607666015625,265.1632385253906,317.980224609375,307.2424621582031,1.2079149920159447,0.9680628763632618,-0.07012698449093747,-0.054255985915506975,0.018285850863152306,0.005490022891210564,0.9680628763632618,-0.07012698449093747,False,search,search,2.397470291964647,0.3632597039631998,1.505,0.011601266094537393,1.2192157857337163,-0.18266760902203724,0.8632325367083242,0.9165210509456905,0.6,0.9692485948566973,-0.06077816692680475,-0.016058340107741584,0.015883428593051377,0.009423710426000551,True,True,False,
2,1.0073923176943598,0.21122752476004047,0.06,True,0.9588762521743774,throw_target,374.6685485839844,273.04083251953125,417.8527526855469,315.21942138671875,1.2011395250179715,0.9926801647850599,0.23181486346591923,-0.05360547521214348,0.025303872395686655,0.005217509819829605,0.9926801647850599,0.23181486346591923,False,search,search,2.4803896103632295,0.3018743099033228,1.7425000000000002,0.03527885673934309,1.2915482451906846,0.6076966387496937,0.9994569403416979,0.9784997115317008,0.6,1.0544083181228827,0.2284255412759018,0.02631114932828619,0.050062721344077056,0.06182113246621665,True,True,False,
3,0.5684712500441766,0.30913458205058314,0.06,True,0.9386345744132996,throw_target,400.800048828125,132.07791137695312,439.7115478515625,170.24490356445312,1.3349816488139945,0.5127391526263895,0.33656278020005703,-0.04598428513649306,0.062115801019648156,0.005395121345436848,0.5127391526263895,0.33656278020005703,False,search,search,1.7091897930786502,0.16095813992236835,1.505,0.1575387516339373,0.04662991180413547,1.231941654013391,0.8632325367083242,1.5050000000000008,0.6,0.6156816096778872,0.28009315601226065,0.026920343446259203,0.05542763284755757,0.11741366155482254,True,False,False,
4,0.9368998806135641,0.28937146781773787,0.06,True,0.9684675335884094,throw_target,401.75787353515625,248.81503295898438,443.70562744140625,290.2803039550781,1.2216961026196957,0.9157330163591204,0.31710635470646953,-0.051236065229682694,0.03488925469391379,0.005570023828970641,0.9157330163591204,0.31710635470646953,False,search,search,2.406333421024291,0.23075361598196745,1.7425000000000002,0.05685509658371896,1.1349068239663667,0.8656665497276572,0.9994569403416979,1.023766305919814,0.6,0.8277347609371563,0.14006202862336017,0.036758634378331836,0.18496035247183115,0.1977078307896063,False,False,False,
5,0.663160741351048,-0.03448603275801769,0.06,False,,,,,,,,,,,,,,,False,search,,,,,,,,,,,,,,,,False,False,True,no valid YOLO detection
