throw_idx,gt_target_x,gt_target_y,gt_target_z,detection_found,detection_confidence,detection_class_name,bbox_x1,bbox_y1,bbox_x2,bbox_y2,depth_surface_m,est_target_x,est_target_y,est_target_z,perception_error_m,surface_vs_vp_error_m,used_target_x,used_target_y,used_ground_truth_fallback,speed_strategy_requested,speed_strategy_used,policy_speed_mps,policy_predicted_error_m,search_best_speed_mps,search_predicted_error_m,planned_vx,planned_vy,planned_vz,achieved_speed_mps,release_time_s,landing_x,landing_y,landing_z,landing_error_gt_m,landing_error_est_m,hit_gt,hit_est,skipped_throw,skip_reason
1,0.9849569823963146,-0.06312973337829197,0.06,True,0.9627538323402405,throw_target,275.66607666015625,265.1632385253906,317.980224609375,307.2424621582031,1.2079149920159447,0.9680628763632618,-0.07012698449093747,-0.054255985915506975,0.018285850863152306,0.005490022891210564,0.9680628763632618,-0.07012698449093747,False,search,search,2.397470291964647,0.3632597039631998,1.505,0.011601266094537393,1.2192157857337163,-0.18266760902203724,0.8632325367083242,0.9165210509456905,0.6,0.9692485948566973,-0.06077816692680475,-0.016058340107741584,0.015883428593051377,0.009423710426000551,True,True,False,
2,1.0073923176943598,0.21122752476004047,0.06,True,0.9588762521743774,throw_target,374.6685485839844,273.04083251953125,417.8527526855469,315.21942138671875,1.2011395250179715,0.9926801647850599,0.23181486346591923,-0.05360547521214348,0.025303872395686655,0.005217509819829605,0.9926801647850599,0.23181486346591923,False,search,search,2.4803896103632295,0.3018743099033228,1.7425000000000002,0.03527885673934309,1.2915482451906846,0.6076966387496937,0.9994569403416979,0.9784997115317008,0.6,1.0544083181228827,0.2284255412759018,0.02631114932828619,0.050062721344077056,0.06182113246621665,True,True,False,
3,0.5684712500441766,0.30913458205058314,0.06,True,0.9386345744132996,throw_target,400.800048828125,132.07791137695312,439.7115478515625,170.24490356445312,1.3349816488139945,0.5127391526263895,0.33656278020005703,-0.04598428513649306,0.062115801019648156,0.005395121345436848,0.5127391526263895,0.33656278020005703,False,search,search,1.7091897930786502,0.16095813992236835,1.505,0.1575387516339373,0.04662991180413547,1.231941654013391,0.8632325367083242,1.5050000000000008,0.6,0.6156816096778872,0.28009315601226065,0.026920343446259203,0.05542763284755757,0.11741366155482254,True,False,False,
4,0.9368998806135641,0.28937146781773787,0.06,True,0.9684675335884094,throw_target,401.75787353515625,248.81503295898438,443.70562744140625,290.2803039550781,1.2216961026196957,0.9157330163591204,0.31710635470646953,-0.051236065229682694,0.03488925469391379,0.005570023828970641,0.9157330163591204,0.31710635470646953,False,search,search,2.406333421024291,0.23075361598196745,1.7425000000000002,0.05685509658371896,1.1349068239663667,0.8656665497276572,0.9994569403416979,1.023766305919814,0.6,0.8277347609371563,0.14006202862336017,0.036758634378331836,0.18496035247183115,0.1977078307896063,False,False,False,
5,0.663160741351048,-0.03448603275801769,0.06,True,0.9599098563194275,throw_target,288.59051513671875,160.5186767578125,327.6968994140625,198.6529541015625,1.306475511131913,0.6137201716230553,-0.03778549520369492,-0.049261236853838465,0.04955054376552232,0.005074446517225518,0.6137201716230553,-0.03778549520369492,False,search,search,1.7136840534708035,0.41406425573794625,0.6,0.06229634791534921,0.4664184673297781,-0.15497560818516268,0.3441458618106276,0.6000000000000001,0.6,0.6321215482302155,-0.08757816326329466,-0.0011740531778651891,0.061499640902867844,0.053084088515599745,True,True,False,
6,0.7082634301691156,0.33943264680687896,0.06,True,0.9671520590782166,throw_target,413.79864501953125,174.48757934570312,454.32861328125,212.71377563476562,1.292674142729786,0.6639381423425107,0.3719029504634982,-0.04819207752676614,0.0549458984862786,0.005180106882770815,0.6639381423425107,0.3719029504634982,False,search,search,1.9817876429896302,0.15687460670464187,1.5949999999999998,0.12143705763430922,0.5270072636888552,1.1955457923397275,0.9148544159799183,1.5950000000000002,0.6,0.782842332327392,0.163246079216679,-0.02304015851184721,0.19132098485620927,0.2401580652705056,False,False,False,
7,0.8697708650456834,0.3057094823197417,0.06,True,0.9535005688667297,throw_target,405.9794921875,226.36590576171875,447.8536376953125,266.2851867675781,1.242968551789141,0.8421392843076503,0.3348971817243314,-0.051075628511060726,0.04019236308821772,0.005614988486014554,0.8421392843076503,0.3348971817243314,False,search,search,2.2821473994085997,0.2101830576844174,1.6687499999999997,0.069898527379104,0.9768701357531482,0.9561926103762509,0.9571556781608079,1.0704274909990668,0.6,0.5455636111920342,0.133426235382056,0.011680815936764219,0.36714011034850996,0.358535454458876,False,False,False,
8,0.7884139438758377,-0.23152971802549888,0.06,True,0.9608421325683594,throw_target,220.14614868164062,200.0953369140625,260.3389587402344,238.47467041015625,1.2678041845462968,0.7526561930857264,-0.2521288416805979,-0.05061844737559943,0.041266701308994506,0.005453912543677731,0.7526561930857264,-0.2521288416805979,False,search,search,2.0796383100409828,0.2562395894312475,1.23875,0.057941033240248206,0.7182678453522732,-0.7167686556713116,0.7105178105298583,1.0790485218420698,0.6,0.47548957026503735,-0.07230283333531354,0.010587978346543153,0.3511052041879376,0.33039178271141123,False,False,False,
9,0.7873541259174242,-0.38693077430938433,0.06,True,0.9384315609931946,throw_target,166.64468383789062,199.6719970703125,207.25466918945312,238.18350219726562,1.268743377552246,0.7514127110426576,-0.42260758815966526,-0.04936527051598661,0.05064208081929184,0.004953875505495406,0.7514127110426576,-0.42260758815966526,False,search,search,2.2072108299285653,0.1494176870278515,2.025,0.11712037462892748,0.8480933705331577,-1.4255870054016762,1.161492283610868,1.3722699555902116,0.6,0.47062514379514386,-0.1929220603249923,0.0010544979071336613,0.3714251327227243,0.3627631453406884,False,False,False,
10,1.0041942627853022,0.13934103845632398,0.06,True,0.9455631375312805,throw_target,348.5657043457031,272.27642822265625,391.9200134277344,314.1290283203125,1.2011395250179715,0.9896882094942921,0.15309580056306124,-0.05327729009579704,0.019990474298889442,0.005529438396801035,0.9896882094942921,0.15309580056306124,False,search,search,2.459920505625404,0.3400645777019063,1.6687499999999997,0.022121192282720765,1.3046841573895673,0.4078955990461253,0.9571556781608079,0.8512774347262784,0.6,0.5969902028564583,0.03570100396292944,-0.017106576335358906,0.4201861529992695,0.4098698118745933,False,False,False,
