robot,release_mode,trials,hits,hit_rate_pct,mean_landing_error_m,std_landing_error_m,mean_speed_ratio,min_speed_ratio,mean_joint_util,max_joint_util
franka_panda,commanded,3,3,100.0,0.0007580584452311726,0.0005201959125409284,0.7113877559319791,0.4889739008715116,0.9882453067477416,1.0000000000000002
kuka_iiwa,commanded,3,3,100.0,0.0025266565105925842,0.0003072305256258492,0.7512435707786453,0.5267215072285787,0.9159509001071701,1.0
xarm6,commanded,3,3,100.0,0.015472941561639586,0.01981246856656202,0.7816373059826476,0.6032325514325332,0.9613751955011901,1.0
