throw_idx,gt_target_x,gt_target_y,gt_target_z,detection_found,detection_confidence,detection_class_name,bbox_x1,bbox_y1,bbox_x2,bbox_y2,depth_surface_m,est_target_x,est_target_y,est_target_z,perception_error_m,surface_vs_vp_error_m,used_target_x,used_target_y,used_ground_truth_fallback,policy_speed_mps,planned_vx,planned_vy,planned_vz,achieved_speed_mps,release_time_s,landing_x,landing_y,landing_z,landing_error_gt_m,landing_error_est_m,hit_gt,hit_est,skipped_throw,skip_reason
1,0.9849569823963146,-0.06312973337829197,0.06,True,0.9674047231674194,throw_target,275.9649353027344,264.74444580078125,318.9942321777344,307.0477294921875,1.0965543423684017,0.9871089329845916,-0.06257555091352718,0.056339051201755516,0.002222163256522458,0.000531010667401847,0.9871089329845916,-0.06257555091352718,False,2.431835713550839,1.9880525666649782,-0.12602812156503362,1.3948436623696934,0.5824834209349812,0.6,0.2139964929085893,0.1402128881726858,0.03524108106738828,0.7973257164361233,0.799265910712632,False,False,False,
2,1.0073923176943598,0.21122752476004047,0.06,True,0.9703099727630615,throw_target,374.79248046875,272.79620361328125,418.675537109375,315.27362060546875,1.0900640976680795,1.00964038881917,0.2127544789685111,0.057342266168282356,0.002717611623645286,0.0016812148003661526,1.00964038881917,0.2127544789685111,False,2.4888489806848413,1.994935050999181,0.42037875272377595,1.4275451289571448,0.5924253183852909,0.6,0.9255824984388766,0.06447805097010158,0.0312253436808739,0.168012661975932,0.17044538138404616,False,False,False,
3,0.5684712500441766,0.30913458205058314,0.06,True,0.9426636099815369,throw_target,401.1168212890625,131.71142578125,440.40380859375,169.69573974609375,1.2179637964359158,0.5676027220760937,0.3113254481053114,0.05969476361766438,0.0023567424341880625,0.0031243679000679016,0.5676027220760937,0.3113254481053114,False,1.770973410521583,1.271932523549253,0.6976445803595077,1.0157886176794277,0.6501688257889309,0.6,1.7481967176883153,0.16746007383599382,-0.027932645061165662,1.1882019379238646,1.1893273007836325,False,False,False,
