noise_type,noise_level_name,noise_level,secondary_param_name,secondary_param,noise_aware,num_seeds,policy_hit_rate_mean_pct,policy_hit_rate_std_pct,policy_mean_error_mean_m,policy_mean_error_std_m,policy_median_error_mean_m,policy_median_error_std_m,policy_p90_error_mean_m,policy_p90_error_std_m,final_cost_mean,final_cost_std
saltpepper,p_spike,0.05,spike_scale,0.3,False,3,91.66666666666667,11.785113019775793,0.031203220914409125,0.017148452707129377,0.019814505135015686,0.001501894652179272,0.057811670949291544,0.0473003447731328,0.001580089109921162,0.0004223316922406901
saltpepper,p_spike,0.05,spike_scale,0.3,True,3,100.0,0.0,0.02134616525616644,0.006686084955174256,0.02341228417930752,0.010444170557032456,0.03346454800430368,0.008040776561582405,0.009960362720390388,0.0005897031767510426
saltpepper,p_spike,0.1,spike_scale,0.3,False,3,66.66666666666667,11.785113019775793,0.05947813204625233,0.010157979599200234,0.034293577874074936,0.021779172823485824,0.12085814669098517,0.007229158067715385,0.001385122835751426,4.087781472608399e-05
saltpepper,p_spike,0.1,spike_scale,0.3,True,3,91.66666666666667,11.785113019775793,0.033581306420664224,0.013372392162171436,0.019440321941146133,0.004331204342816906,0.06797840724821293,0.036606160265676584,0.01831505355513378,0.0009801486503054732
saltpepper,p_spike,0.15,spike_scale,0.3,False,3,50.0,20.412414523193153,0.08600695400982707,0.024894249224617058,0.07940015418653705,0.04273851748486953,0.13698733985426334,0.01606849544374807,0.001494741984190269,4.2662343499142405e-05
saltpepper,p_spike,0.15,spike_scale,0.3,True,3,91.66666666666667,11.785113019775793,0.04279828803015472,0.015530577047773437,0.0342178298797483,0.011308854319199148,0.07306464789672361,0.03522341866154166,0.02783053041097996,0.0016714468621580123
slip,alpha,0.05,sigma,0.04,False,3,83.33333333333333,11.785113019775793,0.0626029497418873,0.007217070238898551,0.057079644452486505,0.0022253516089109806,0.08947943913745333,0.024554655082506534,0.005014597305642388,0.005031669951196588
slip,alpha,0.05,sigma,0.04,True,3,100.0,0.0,0.03373100310812534,0.003451488731624632,0.033081052998203124,0.0030079907568128675,0.04914952693902255,0.0061008626467355265,0.004655298789130951,0.0002667005558945279
slip,alpha,0.1,sigma,0.04,False,3,8.333333333333334,11.785113019775793,0.1309898157674497,0.013792557026497804,0.13011667877038777,0.015658720147290157,0.15479628880741228,0.019708445356171667,0.0014458166396745106,3.463083222527571e-05
slip,alpha,0.1,sigma,0.04,True,3,100.0,0.0,0.0377379562745487,0.001269144621024065,0.035558888567430204,0.0014958611161440837,0.051673275945302966,0.004560247498851731,0.004479617649021584,0.000155586206639897
slip,alpha,0.15,sigma,0.04,False,3,8.333333333333334,11.785113019775793,0.16923567916112384,0.014423745505232394,0.1699087816158461,0.01851913001860777,0.20474335353329284,0.004525421696178401,0.001237526804048071,0.00011797877162578448
slip,alpha,0.15,sigma,0.04,True,3,100.0,0.0,0.03168549535881064,0.005035321779677986,0.03133695461051974,0.005573060325489411,0.042406222302193354,0.010559366716637235,0.004666806954736657,0.00014002239779113744
slip,alpha,0.2,sigma,0.04,False,3,0.0,0.0,0.23602205070492688,0.026904044342672115,0.22848347618823808,0.032980055305720665,0.2890066563871445,0.02297379818089712,0.001374766631116273,2.08138261533426e-05
slip,alpha,0.2,sigma,0.04,True,3,100.0,0.0,0.03700864855820562,0.01143085694627312,0.036527290391258856,0.010424718830013838,0.052393909257350234,0.015818223958288514,0.008771149784140096,0.0004332202158151016
