noise_type,noise_level_name,noise_level,secondary_param_name,secondary_param,noise_aware,num_seeds,policy_hit_rate_mean_pct,policy_hit_rate_std_pct,policy_mean_error_mean_m,policy_mean_error_std_m,policy_median_error_mean_m,policy_median_error_std_m,policy_p90_error_mean_m,policy_p90_error_std_m,final_cost_mean,final_cost_std
saltpepper,p_spike,0.05,spike_scale,0.3,False,3,91.66666666666667,11.785113019775793,0.031203220914409125,0.017148452707129377,0.019814505135015686,0.001501894652179272,0.057811670949291544,0.0473003447731328,0.001580089109921162,0.0004223316922406901
saltpepper,p_spike,0.05,spike_scale,0.3,True,3,100.0,0.0,0.02134616525616644,0.006686084955174256,0.02341228417930752,0.010444170557032456,0.03346454800430368,0.008040776561582405,0.009960362720390388,0.0005897031767510426
saltpepper,p_spike,0.1,spike_scale,0.3,False,3,66.66666666666667,11.785113019775793,0.05947813204625233,0.010157979599200234,0.034293577874074936,0.021779172823485824,0.12085814669098517,0.007229158067715385,0.001385122835751426,4.087781472608399e-05
saltpepper,p_spike,0.1,spike_scale,0.3,True,3,91.66666666666667,11.785113019775793,0.033581306420664224,0.013372392162171436,0.019440321941146133,0.004331204342816906,0.06797840724821293,0.036606160265676584,0.01831505355513378,0.0009801486503054732
saltpepper,p_spike,0.15,spike_scale,0.3,False,3,50.0,20.412414523193153,0.08600695400982707,0.024894249224617058,0.07940015418653705,0.04273851748486953,0.13698733985426334,0.01606849544374807,0.001494741984190269,4.2662343499142405e-05
saltpepper,p_spike,0.15,spike_scale,0.3,True,3,91.66666666666667,11.785113019775793,0.04279828803015472,0.015530577047773437,0.0342178298797483,0.011308854319199148,0.07306464789672361,0.03522341866154166,0.02783053041097996,0.0016714468621580123
