noise_type,noise_level_name,noise_level,secondary_param_name,secondary_param,noise_aware,num_seeds,policy_hit_rate_mean_pct,policy_hit_rate_std_pct,policy_mean_error_mean_m,policy_mean_error_std_m,policy_median_error_mean_m,policy_median_error_std_m,policy_p90_error_mean_m,policy_p90_error_std_m,final_cost_mean,final_cost_std
saltpepper,p_spike,0.05,spike_scale,0.3,False,1,75.0,0.0,0.043882309012611406,0.0,0.025660708602735803,0.0,0.0883939398124291,0.0,0.004104255410955956,0.0
saltpepper,p_spike,0.05,spike_scale,0.3,True,1,100.0,0.0,0.029231743300858135,0.0,0.01811962210144677,0.0,0.053423381861872773,0.0,0.016045107378489017,0.0
saltpepper,p_spike,0.1,spike_scale,0.3,False,1,25.0,0.0,0.10124941039493705,0.0,0.10603178304579412,0.0,0.13567785426059578,0.0,0.0034534760825184825,0.0
saltpepper,p_spike,0.1,spike_scale,0.3,True,1,75.0,0.0,0.11039258479158291,0.0,0.09381855120356172,0.0,0.16452345335564394,0.0,0.023807267221625364,0.0
saltpepper,p_spike,0.15,spike_scale,0.3,False,1,50.0,0.0,0.07680749413030878,0.0,0.07202830965302301,0.0,0.13395903750041918,0.0,0.004104255410955956,0.0
saltpepper,p_spike,0.15,spike_scale,0.3,True,1,50.0,0.0,0.09143961102216148,0.0,0.08964973324603777,0.0,0.1674022853870222,0.0,0.031434827562809166,0.0
slip,alpha,0.05,sigma,0.04,False,1,100.0,0.0,0.06818142104912603,0.0,0.06983111684671547,0.0,0.07610561630348693,0.0,0.0034869408916460088,0.0
slip,alpha,0.05,sigma,0.04,True,1,100.0,0.0,0.025974544650361885,0.0,0.02594787538439293,0.0,0.037751516322304876,0.0,0.007000198553659689,0.0
slip,alpha,0.1,sigma,0.04,False,1,25.0,0.0,0.12423148549883967,0.0,0.1199326876104165,0.0,0.16037426569744867,0.0,0.003553584539316747,0.0
slip,alpha,0.1,sigma,0.04,True,1,100.0,0.0,0.045043994468937004,0.0,0.03973319792596225,0.0,0.07321290655365625,0.0,0.006721777104443343,0.0
slip,alpha,0.15,sigma,0.04,False,1,100.0,0.0,0.0577707957109653,0.0,0.07082688788002664,0.0,0.08081886570551322,0.0,0.0033943357959296335,0.0
slip,alpha,0.15,sigma,0.04,True,1,100.0,0.0,0.035937126258296426,0.0,0.03571222111265319,0.0,0.05298879077548255,0.0,0.006232296484720441,0.0
slip,alpha,0.2,sigma,0.04,False,1,0.0,0.0,0.1881474091466142,0.0,0.17661602266703666,0.0,0.22065423341808166,0.0,0.004036784619686784,0.0
slip,alpha,0.2,sigma,0.04,True,1,100.0,0.0,0.021928066046366698,0.0,0.019422100527498556,0.0,0.02867775462330888,0.0,0.010969967101096182,0.0
